Date,Baringo_PCR_pos,Baringo_PCR_neg,Bomet_PCR_pos,Bomet_PCR_neg,Bungoma_PCR_pos,Bungoma_PCR_neg,Busia_PCR_pos,Busia_PCR_neg,Elgeyo-Marakwet_PCR_pos,Elgeyo-Marakwet_PCR_neg,Embu_PCR_pos,Embu_PCR_neg,Garissa_PCR_pos,Garissa_PCR_neg,Homa Bay_PCR_pos,Homa Bay_PCR_neg,Isiolo_PCR_pos,Isiolo_PCR_neg,Kajiado_PCR_pos,Kajiado_PCR_neg,Kakamega_PCR_pos,Kakamega_PCR_neg,Kericho_PCR_pos,Kericho_PCR_neg,Kiambu_PCR_pos,Kiambu_PCR_neg,Kilifi_PCR_pos,Kilifi_PCR_neg,Kirinyaga_PCR_pos,Kirinyaga_PCR_neg,Kisii_PCR_pos,Kisii_PCR_neg,Kisumu_PCR_pos,Kisumu_PCR_neg,Kitui_PCR_pos,Kitui_PCR_neg,Kwale_PCR_pos,Kwale_PCR_neg,Laikipia_PCR_pos,Laikipia_PCR_neg,Lamu_PCR_pos,Lamu_PCR_neg,Machakos_PCR_pos,Machakos_PCR_neg,Makueni_PCR_pos,Makueni_PCR_neg,Mandera_PCR_pos,Mandera_PCR_neg,Marsabit_PCR_pos,Marsabit_PCR_neg,Meru_PCR_pos,Meru_PCR_neg,Migori_PCR_pos,Migori_PCR_neg,Mombasa_PCR_pos,Mombasa_PCR_neg,Murang'a_PCR_pos,Murang'a_PCR_neg,Nairobi_PCR_pos,Nairobi_PCR_neg,Nakuru_PCR_pos,Nakuru_PCR_neg,Nandi_PCR_pos,Nandi_PCR_neg,Narok_PCR_pos,Narok_PCR_neg,Nyamira_PCR_pos,Nyamira_PCR_neg,Nyandarua_PCR_pos,Nyandarua_PCR_neg,Nyeri_PCR_pos,Nyeri_PCR_neg,Samburu_PCR_pos,Samburu_PCR_neg,Siaya_PCR_pos,Siaya_PCR_neg,Taita Taveta_PCR_pos,Taita Taveta_PCR_neg,Tana River_PCR_pos,Tana River_PCR_neg,Tharaka-Nithi_PCR_pos,Tharaka-Nithi_PCR_neg,Trans Nzoia_PCR_pos,Trans Nzoia_PCR_neg,Turkana_PCR_pos,Turkana_PCR_neg,Uasin Gishu_PCR_pos,Uasin Gishu_PCR_neg,Vihiga_PCR_pos,Vihiga_PCR_neg,Wajir_PCR_pos,Wajir_PCR_neg,West Pokot_PCR_pos,West Pokot_PCR_neg
2020-03-02,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-03,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-04,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-05,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-06,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-07,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-08,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-09,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-10,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-11,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-12,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-13,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-14,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-15,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-16,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-18,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,4,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-19,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,1,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,1,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-20,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-21,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-22,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,4,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-23,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,3,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,4,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-24,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,3,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,4,0,-17,6,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-25,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,6,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,6,0,-17,2,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-26,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,2,7,0,-17,0,-17,0,-17,0,-17,0,3,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,14,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-27,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,4,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-28,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,5,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,8,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-29,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,3,0,-17,0,-17,0,-17,0,-17,0,1,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,1,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-30,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,1,12,0,-17,0,-17,0,-17,1,-17,0,1,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,6,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-03-31,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,6,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-01,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,1,-17,2,-17,0,4,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,1,-17,8,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-02,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,1,-17,0,7,0,-17,0,-17,0,-17,0,-17,0,0,1,-17,0,0,2,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,16,-17,2,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-03,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,10,0,-17,0,-17,0,-17,0,-17,0,0,1,-17,0,0,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,10,0,-17,11,-17,2,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-04,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,1,0,-17,0,-17,0,-17,0,-17,0,3,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,10,0,-17,4,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-05,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,9,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,2,31,0,-17,10,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,2,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17
2020-04-06,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,30,0,-17,0,-17,0,-17,1,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,6,51,0,-17,14,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-07,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,1,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,4,0,-17,0,0,1,-17,0,-17,2,-17,0,-17,0,-17,0,-17,2,25,0,-17,11,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17
2020-04-08,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,6,0,-17,0,-17,0,-17,0,-17,0,0,0,-17,0,0,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,2,19,0,-17,7,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,0,0,0,0,-17,0,-17,0,-17,1,-17,0,-17,0,-17,0,-17
